,제목,유사곡
51,러브레터,나의 옛날이야기
51,러브레터,밤편지
51,러브레터,사랑이 지나가면
52,복숭아,Obliviate
52,복숭아,잔소리 (With 2AM 슬옹)
52,복숭아,Love poem
53,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),얼음꽃 (Feat. 김세황)
53,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),그렇게 사랑은
53,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),첫 겨울이니까
54,에필로그,나의 옛날이야기
54,에필로그,Boo
54,에필로그,밤편지
55,마쉬멜로우,잠자는 숲 속의 왕자 (Feat. 윤상)
55,마쉬멜로우,하루 끝
55,마쉬멜로우,바라보기
56,Zeze,Love poem
56,Zeze,unlucky
56,Zeze,너
57,사랑이 지나가면,라망 (L'amant)
57,사랑이 지나가면,그러는 그대는
57,사랑이 지나가면,바라보기
58,너,느리게 하는 일
58,너,좋은 날
58,너,누구나 비밀은 있다 (Feat. 가인 Of Brown Eyed Girls)
59,그 사람,한낮의 꿈 (Feat. 양희은)
59,그 사람,나의 옛날이야기
59,그 사람,누구나 비밀은 있다 (Feat. 가인 Of Brown Eyed Girls)
60,돌림노래 (Feat. DEAN),사랑이 잘 (With 오혁)
60,돌림노래 (Feat. DEAN),난 사랑을 아직 몰라
60,돌림노래 (Feat. DEAN),그렇게 사랑은
61,매일 그대와,Havana
61,매일 그대와,마음을 드려요
61,매일 그대와,사랑이 지나가면
62,첫 이별 그날 밤,그렇게 사랑은
62,첫 이별 그날 밤,나만 몰랐던 이야기
62,첫 이별 그날 밤,나만 몰랐던 이야기 (With Pianist 김광민)
63,Flu,하루 끝
63,Flu,그 애 참 싫다
63,Flu,난 사랑을 아직 몰라
64,소격동,Love poem
64,소격동,사랑을 믿어요
64,소격동,나의 옛날이야기
65,Mother Nature (H₂O),Feel So Good
65,Mother Nature (H₂O),첫사랑이죠
65,Mother Nature (H₂O),달빛바다
66,달빛바다,푸르던
66,달빛바다,Mother Nature (H₂O)
66,달빛바다,아이와 나의 바다
67,첫사랑이죠,사랑이 지나가면
67,첫사랑이죠,그러는 그대는
67,첫사랑이죠,Havana
68,우울시계 (Feat. 종현 Of SHINee),너랑 나
68,우울시계 (Feat. 종현 Of SHINee),다섯째 손가락
68,우울시계 (Feat. 종현 Of SHINee),금요일에 만나요 (Feat. 장이정 Of HISTORY)
69,Boo,느리게 하는 일
69,Boo,좋은 날
69,Boo,그렇게 사랑은
70,삐에로는 우릴 보고 웃지,나만 몰랐던 이야기
70,삐에로는 우릴 보고 웃지,나만 몰랐던 이야기 (With Pianist 김광민)
70,삐에로는 우릴 보고 웃지,누구나 비밀은 있다 (Feat. 가인 Of Brown Eyed Girls)
71,(Bonus Track) Voice Mail (Korean Ver.),졸업하는 날
71,(Bonus Track) Voice Mail (Korean Ver.),Boo
71,(Bonus Track) Voice Mail (Korean Ver.),겨울잠
72,Modern Times,정거장
72,Modern Times,나의 옛날이야기
72,Modern Times,한낮의 꿈 (Feat. 양희은)
73,비밀,누구나 비밀은 있다 (Feat. 가인 Of Brown Eyed Girls)
73,비밀,여름밤의 꿈
73,비밀,A Dreamer
74,있잖아 (Feat. 마리오),그렇게 사랑은
74,있잖아 (Feat. 마리오),나의 옛날이야기
74,있잖아 (Feat. 마리오),바라보기
75,어젯밤 이야기,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ)
75,어젯밤 이야기,혼자 있는 방
75,어젯밤 이야기,Into the I-LAND
76,마침표,그대네요
76,마침표,봄 안녕 봄
76,마침표,라일락
77,그 애 참 싫다,그렇게 사랑은
77,그 애 참 싫다,Celebrity
77,그 애 참 싫다,Obliviate
78,Black Out,느리게 하는 일
78,Black Out,사랑니
78,Black Out,마음
79,Red Queen (Feat. Zion.T),여자라서
79,Red Queen (Feat. Zion.T),드라마
79,Red Queen (Feat. Zion.T),Everything's Alright (Feat. 김현철)
80,빈 컵 (Empty Cup),아이와 나의 바다
80,빈 컵 (Empty Cup),사랑을 믿어요
80,빈 컵 (Empty Cup),기차를 타고
81,이게 아닌데,하루 끝
81,이게 아닌데,입술 사이 (50cm)
81,이게 아닌데,사랑이 잘 (With 오혁)
82,졸업하는 날,(Bonus Track) Voice Mail (Korean Ver.)
82,졸업하는 날,좋은 날
82,졸업하는 날,Boo
83,기차를 타고,미아
83,기차를 타고,사랑이 잘 (With 오혁)
83,기차를 타고,그렇게 사랑은
84,여름밤의 꿈,Obliviate
84,여름밤의 꿈,비밀
84,여름밤의 꿈,별을 찾는 아이 (Feat. 김광진)
85,새 신발,별을 찾는 아이 (Feat. 김광진)
85,새 신발,한낮의 꿈 (Feat. 양희은)
85,새 신발,소격동
86,느리게 하는 일,사랑이 지나가면
86,느리게 하는 일,라망 (L'amant)
86,느리게 하는 일,그러는 그대는
87,을의 연애 (With 박주원),그 애 참 싫다
87,을의 연애 (With 박주원),Obliviate
87,을의 연애 (With 박주원),아침 눈물
88,Havana,매일 그대와
88,Havana,사랑이 지나가면
88,Havana,비밀의 화원
89,안경,Teacher (Feat. Ra.D)
89,안경,Everything's Alright (Feat. 김현철)
89,안경,아침 눈물
90,바람꽃 (E.S),사랑이 지나가면
90,바람꽃 (E.S),비밀의 화원
90,바람꽃 (E.S),바라보기
91,입술 사이 (50cm),라망 (L'amant)
91,입술 사이 (50cm),사랑을 믿어요
91,입술 사이 (50cm),사랑이 잘 (With 오혁)
92,누구나 비밀은 있다 (Feat. 가인 Of Brown Eyed Girls),비밀
92,누구나 비밀은 있다 (Feat. 가인 Of Brown Eyed Girls),A Dreamer
92,누구나 비밀은 있다 (Feat. 가인 Of Brown Eyed Girls),한낮의 꿈 (Feat. 양희은)
93,싫은 날,Last Fantasy
93,싫은 날,삐에로는 우릴 보고 웃지
93,싫은 날,너의 의미 (Feat. 김창완)
